      PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND
  4201404       0       0       7100  ?              0   Sep  4 C:\Windows\System32\AggregatorHost.exe
  4200832       0       0       6528  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4201840       0       0       7536  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4202008       0       0       7704  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4202328       0       0       8024  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4202676       0       0       8372  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4205088       0       0      10784  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4205452       0       0      11148  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4206096       0       0      11792  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4199316       0       0       5012  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4200844       0       0       6540  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4202756       0       0       8452  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4204528       0       0      10224  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4205084       0       0      10780  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197336       0       0       3032  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4206172       0       0      11868  ?              0   Sep  4 C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
  4202420       0       0       8116  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4195224       0       0        920  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4200728       0       0       6424  ?              0   Sep  4 C:\Windows\System32\csrss.exe
  4203352       0       0       9048  ?              0   Sep  4 C:\Windows\System32\winlogon.exe
  4203436       0       0       9132  ?              0   Sep  4 C:\Windows\System32\fontdrvhost.exe
  4200032       0       0       5728  ?              0   Sep  4 C:\Windows\System32\dwm.exe
  4204404       0       0      10100  ?              0   Sep  4 C:\Windows\System32\DriverStore\FileRepository\nv_surface_woa.inf_arm64_552424781ade3526\Display.NvContainer\NVDisplay.Container.exe
  4198812       0       0       4508  ?              0   Sep  4 C:\Windows\System32\sihost.exe
  4202576       0       0       8272  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4202592       0       0       8288  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4202176       0       0       7872  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4201568       0       0       7264  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4206408       0       0      12104  ?              0   Sep  4 C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe
  4202892       0       0       8588  ?              0   Sep  4 C:\Windows\System32\dllhost.exe
  4196556       0       0       2252  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4203592       0       0       9288  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196168       0       0       1864  ?              0   Sep  4 C:\Windows\System32\RuntimeBroker.exe
  4199068       0       0       4764  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4208040       0       0      13736  ?              0   Sep  4 C:\Tools\SurfaceDiagData\SurfaceDiagData.exe
  4204496       0       0      10192  ?              0   Sep  4 C:\Windows\System32\MidiSrv.exe
  4202792       0       0       8488  ?              0   Sep  4 C:\Windows\System32\vmcompute.exe
  4198848       0       0       4544  ?              0   Sep  4 C:\Windows\System32\ctfmon.exe
  4207856       0       0      13552  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4210160       0       0      15856  ?              0   Sep  4 C:\Windows\System32\oobe\UserOOBEBroker.exe
  4210180       0       0      15876  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4211156       0       0      16852  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4211680       0       0      17376  ?              0   Sep  4 C:\Windows\System32\taskhostw.exe
  4214040       0       0      19736  ?              0   Sep  4 C:\Windows\System32\SecurityHealthSystray.exe
  4214060       0       0      19756  ?              0   Sep  4 C:\Windows\System32\SecurityHealthService.exe
  4210296       0       0      15992  ?              0   Sep  4 C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe
  4214696       0       0      20392  ?              0   Sep  4 C:\Windows\System32\RuntimeBroker.exe
  4214628       0       0      20324  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4214268       0       0      19964  ?              0   Sep  4 C:\Windows\System32\WUDFHost.exe
  4212484       0       0      18180  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4208956       0       0      14652  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4213256       0       0      18952  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4202236       0       0       7932  ?              0   Sep  4 C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_arm64__8wekyb3d8bbwe\WindowsTerminal.exe
  4208592       0       0      14288  ?              0   Sep  5 C:\Windows\System32\ApplicationFrameHost.exe
  4194772       0       0        468  ?              0   Sep  4 C:\Windows\System32\VSSVC.exe
  4209940       0       0      15636  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4205508       0       0      11204  ?              0   Sep  5 C:\Windows\System32\ShellHost.exe
  4218468       0       0      24164  ?              0   Sep  5 C:\Windows\System32\svchost.exe
  4215348       0       0      21044  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4203700       0       0       9396  ?              0   Sep  4 C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26080.3-0\MsMpEng.exe
  4203832       0       0       9528  ?              0   Sep  4 C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26080.3-0\MpDefenderCoreService.exe
  4219444       0       0      25140  ?              0   Sep  4 C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26080.3-0\NisSrv.exe
  4218132       0       0      23828  ?              0   Sep  5 C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.21100.40.0_arm64__cw5n1h2txyewy\Dashboard\Widgets.exe
  4208596       0       0      14292  ?              0   Sep  5 C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_arm64__8wekyb3d8bbwe\WidgetService\WidgetService.exe
  4201004       0       0       6700  ?              0   Sep  5 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4200292       0       0       5988  ?              0   Sep  5 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4205036       0       0      10732  ?              0   Sep  5 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4198524       0       0       4220  ?              0   Sep  5 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4219324       0       0      25020  ?              0   Sep  5 C:\Windows\System32\RuntimeBroker.exe
  4208992       0       0      14688  ?              0   Sep  5 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4218244       0       0      23940  ?              0   Sep  5 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4219272       0       0      24968  ?              0   Sep  5 C:\Windows\System32\svchost.exe
  4219600       0       0      25296  ?              0   Sep  5 C:\Windows\System32\taskhostw.exe
  4203852       0       0       9548  ?              0   Sep  4 C:\Windows\System32\DriverStore\FileRepository\devicestelemetryservicedriver.inf_arm64_b976c1d2737ed481\DevicesTelemetryService.exe
  4203224       0       0       8920  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4220424       0       0      26120  ?              0   Sep  4 C:\Windows\System32\svchost.exe
